Image,Entropy(bits),Avg_Gradient,time/frame
0001_dehazed.png,7.6593,52.3909,0.0200
0002_dehazed.png,7.6446,53.1008,0.0196
0003_dehazed.png,7.6399,52.9965,0.0212
0004_dehazed.png,7.6386,52.972,0.0244
0005_dehazed.png,7.6382,52.9621,0.0237
0006_dehazed.png,7.6379,52.9448,0.0271
0007_dehazed.png,7.6384,52.9432,0.0266
0008_dehazed.png,7.6381,52.9457,0.0259
0009_dehazed.png,7.637,52.9542,0.0242
0010_dehazed.png,7.6367,52.9561,0.0250
0011_dehazed.png,7.6377,52.9729,0.0228
0012_dehazed.png,7.6379,52.9835,0.0254
0013_dehazed.png,7.6453,53.3104,0.0242
0014_dehazed.png,7.641,53.274,0.0192
0015_dehazed.png,7.6413,53.2555,0.0216
0016_dehazed.png,7.6391,53.2413,0.0197
0017_dehazed.png,7.6402,53.2441,0.0260
0018_dehazed.png,7.6397,53.2328,0.0298
0019_dehazed.png,7.6402,53.2402,0.0222
0020_dehazed.png,7.6403,53.2374,0.0218
0021_dehazed.png,7.6405,53.2357,0.0268
0022_dehazed.png,7.6402,53.2406,0.0296
0023_dehazed.png,7.6404,53.249,0.0285
0024_dehazed.png,7.64,53.2565,0.0241
0025_dehazed.png,7.6434,53.4822,0.0275
0026_dehazed.png,7.6386,53.4319,0.0220
0027_dehazed.png,7.6378,53.4247,0.0222
0028_dehazed.png,7.6374,53.414,0.0272
0029_dehazed.png,7.638,53.4185,0.0298
0030_dehazed.png,7.6376,53.4371,0.0265
0031_dehazed.png,7.6372,53.4438,0.0302
0032_dehazed.png,7.6379,53.4608,0.0282
0033_dehazed.png,7.6372,53.4686,0.0239
0034_dehazed.png,7.6368,53.4699,0.0190
0035_dehazed.png,7.6366,53.4647,0.0233
0036_dehazed.png,7.6362,53.4662,0.0276
0037_dehazed.png,7.6425,53.6219,0.0229
0038_dehazed.png,7.639,53.5775,0.0250
0039_dehazed.png,7.6371,53.5477,0.0239
0040_dehazed.png,7.6365,53.5142,0.0202
0041_dehazed.png,7.6351,53.4727,0.0274
0042_dehazed.png,7.6349,53.4463,0.0281
0043_dehazed.png,7.6328,53.4445,0.0248
0044_dehazed.png,7.6318,53.4827,0.0273
0045_dehazed.png,7.629,53.497,0.0278
0046_dehazed.png,7.6261,53.5518,0.0193
0047_dehazed.png,7.6219,53.556,0.0246
0048_dehazed.png,7.618,53.5185,0.0299
0049_dehazed.png,7.6188,53.5962,0.0202
0050_dehazed.png,7.6117,53.4943,0.0205
0051_dehazed.png,7.6041,53.2701,0.0202
0052_dehazed.png,7.601,53.0776,0.0218
0053_dehazed.png,7.5976,52.9929,0.0249
0054_dehazed.png,7.5947,53.0115,0.0273
0055_dehazed.png,7.5951,53.0467,0.0263
0056_dehazed.png,7.596,52.9976,0.0246
0057_dehazed.png,7.5958,52.9405,0.0221
0058_dehazed.png,7.5945,52.9728,0.0213
0059_dehazed.png,7.5956,53.0061,0.0217
0060_dehazed.png,7.6014,52.9888,0.0206
0061_dehazed.png,7.6149,52.876,0.0231
0062_dehazed.png,7.6145,52.8313,0.0272
0063_dehazed.png,7.6173,52.8018,0.0193
0064_dehazed.png,7.6199,52.7708,0.0250
0065_dehazed.png,7.6225,52.7223,0.0195
0066_dehazed.png,7.6234,52.6757,0.0192
0067_dehazed.png,7.6245,52.6531,0.0293
0068_dehazed.png,7.6253,52.6478,0.0273
0069_dehazed.png,7.6269,52.7013,0.0195
0070_dehazed.png,7.6282,52.768,0.0202
0071_dehazed.png,7.6285,52.8056,0.0241
0072_dehazed.png,7.6298,52.8434,0.0260
0073_dehazed.png,7.6371,53.1196,0.0216
0074_dehazed.png,7.6324,53.084,0.0237
0075_dehazed.png,7.6324,53.1247,0.0301
0076_dehazed.png,7.6326,53.1704,0.0299
0077_dehazed.png,7.6336,53.1986,0.0224
0078_dehazed.png,7.6342,53.1994,0.0242
0079_dehazed.png,7.6351,53.2026,0.0196
0080_dehazed.png,7.6351,53.2251,0.0240
0081_dehazed.png,7.6349,53.2569,0.0237
0082_dehazed.png,7.6348,53.2615,0.0243
0083_dehazed.png,7.6349,53.2762,0.0228
